"customer_id","contract_type","prefecture","age","age_group","gender","contract_date","plan_type","monthly_fee","fee_category","device_type","network_type","data_usage_gb","usage_category","call_minutes","payment_method","credit_score","family_size","annual_income","income_category","last_login_date","support_contacts","is_active","churn_risk_score","risk_category","customer_segment"
"24757736","法人","神奈川県","39","Age_30s","男性","2023-10-18","プレミアム","7548","High_Fee","フィーチャーフォン","3G","5.7","Light_Usage","722","コンビニ払い","818","1","6518722","High_Income","2025-07-24","1","true","0.797","Super_High_Risk_Customer","Mid_At_Risk"
"66887930","個人","大阪府","65","Over_60","男性","2018-09-21","プレミアム","8656","High_Fee","フィーチャーフォン","5G","44.2","Heavy_Usage","792","コンビニ払い","831","4","3121179","Mid_Income","2025-08-22","1","true","0.533","High_Risk_Customer","Mid_At_Risk"
"92408987","法人","兵庫県","51","Age_50s","男性","2019-08-06","プレミアム","11049","Premium_Fee","IoTデバイス","5G","43.8","Heavy_Usage","758","コンビニ払い","667","1","9140214","High_Income","2025-06-24","20","true","0.272","Stable_Customer","Premium_Stable"
"34173081","個人","静岡県","44","Age_40s","女性","2015-09-15","ベーシック","2262","Low_Fee","IoTデバイス","5G","44.4","Heavy_Usage","922","請求書払い","698","2","10323335","Super_High_Income","2025-08-05","7","true","0.063","Stable_Customer","Entry_Level"
"37628720","個人","千葉県","47","Age_40s","男性","2024-09-29","ベーシック","2973","Low_Fee","フィーチャーフォン","3G","43.3","Heavy_Usage","984","請求書払い","575","1","11235014","Super_High_Income","2025-08-20","20","false","0.945","Super_High_Risk_Customer","Entry_Level"
"25212316","法人","北海道","37","Age_30s","男性","2024-06-20","ベーシック","2795","Low_Fee","フィーチャーフォン","5G","47.8","Heavy_Usage","808","クレジットカード","402","5","2880987","Low_Income","2025-08-21","12","true","0.69","High_Risk_Customer","Entry_Level"
"39222892","個人","埼玉県","59","Age_50s","男性","2019-11-29","プレミアム","8357","High_Fee","モバイルルーター","4G","7.1","Light_Usage","238","請求書払い","551","3","4829353","Mid_Income","2025-06-24","8","false","0.932","Super_High_Risk_Customer","Mid_At_Risk"
"44351403","法人","福岡県","58","Age_50s","男性","2025-04-24","プレミアム","8055","High_Fee","フィーチャーフォン","3G","49.3","Heavy_Usage","281","口座振替","551","5","4844527","Mid_Income","2025-08-01","16","true","0.37","At_Risk_Customer","Mid_Stable"
"42048827","個人","兵庫県","28","Under_30","男性","2020-03-20","エンタープライズ","17321","Premium_Fee","スマートフォン","3G","36.0","Heavy_Usage","891","コンビニ払い","542","2","3255337","Mid_Income","2025-06-14","1","true","0.014","Stable_Customer","Premium_Stable"
"79164755","法人","神奈川県","46","Age_40s","男性","2022-07-08","ベーシック","2290","Low_Fee","モバイルルーター","5G","19.0","Standard_Usage","317","コンビニ払い","567","2","14738738","Super_High_Income","2025-05-30","9","false","0.51","High_Risk_Customer","Entry_Level"
"43429166","個人","愛知県","21","Under_30","男性","2021-02-05","ベーシック","2041","Low_Fee","タブレット","5G","47.4","Heavy_Usage","62","請求書払い","583","5","13164448","Super_High_Income","2025-07-05","3","true","0.508","High_Risk_Customer","Entry_Level"
"94027310","法人","東京都","80","Over_60","女性","2025-04-05","ベーシック","3263","Standard_Fee","モバイルルーター","4G","13.2","Standard_Usage","457","コンビニ払い","700","6","14639048","Super_High_Income","2025-06-17","17","false","0.425","At_Risk_Customer","Entry_Level"
"17421659","個人","大阪府","58","Age_50s","女性","2016-10-26","プレミアム","9900","High_Fee","IoTデバイス","4G","32.7","Heavy_Usage","933","口座振替","763","6","7441051","High_Income","2025-08-19","9","true","0.758","Super_High_Risk_Customer","Mid_At_Risk"
"60562611","個人","兵庫県","23","Under_30","女性","2019-08-21","ベーシック","3696","Standard_Fee","スマートフォン","5G","34.0","Heavy_Usage","784","クレジットカード","424","2","6341189","High_Income","2025-07-20","11","true","0.79","Super_High_Risk_Customer","Entry_Level"
"35785053","個人","北海道","64","Over_60","女性","2025-07-18","ベーシック","3062","Standard_Fee","スマートフォン","3G","41.7","Heavy_Usage","275","請求書払い","770","2","11763323","Super_High_Income","2025-08-15","8","true","0.838","Super_High_Risk_Customer","Entry_Level"
"65978987","個人","東京都","37","Age_30s","女性","2021-05-28","エンタープライズ","14046","Premium_Fee","タブレット","3G","7.7","Light_Usage","257","請求書払い","351","5","2072183","Low_Income","2025-06-22","19","true","0.955","Super_High_Risk_Customer","Premium_At_Risk"
"61120211","法人","北海道","64","Over_60","男性","2024-07-08","ベーシック","2636","Low_Fee","タブレット","3G","39.4","Heavy_Usage","339","口座振替","380","4","12559967","Super_High_Income","2025-08-10","16","false","0.44","At_Risk_Customer","Entry_Level"
"56812160","法人","静岡県","78","Over_60","男性","2023-08-12","エンタープライズ","24777","Premium_Fee","タブレット","5G","19.6","Standard_Usage","249","クレジットカード","805","2","13148873","Super_High_Income","2025-06-04","3","true","0.542","High_Risk_Customer","Premium_At_Risk"
"46641106","個人","神奈川県","74","Over_60","男性","2018-09-09","エンタープライズ","23157","Premium_Fee","フィーチャーフォン","4G","33.9","Heavy_Usage","467","口座振替","763","1","14955120","Super_High_Income","2025-08-15","20","false","0.012","Stable_Customer","Premium_Stable"
"15278735","個人","千葉県","46","Age_40s","男性","2017-09-22","エンタープライズ","23854","Premium_Fee","スマートフォン","3G","17.0","Standard_Usage","652","クレジットカード","613","2","7834860","High_Income","2025-07-21","15","false","0.791","Super_High_Risk_Customer","Premium_At_Risk"
"15480887","法人","北海道","70","Over_60","女性","2022-11-12","プレミアム","7060","High_Fee","タブレット","4G","27.2","Standard_Usage","512","請求書払い","500","5","3779875","Mid_Income","2025-07-15","19","true","0.846","Super_High_Risk_Customer","Mid_At_Risk"
"74339716","個人","福岡県","49","Age_40s","女性","2022-03-18","エンタープライズ","13307","Premium_Fee","タブレット","5G","15.6","Standard_Usage","633","口座振替","579","3","9820408","High_Income","2025-07-24","9","true","0.649","High_Risk_Customer","Premium_At_Risk"
"26762378","法人","千葉県","30","Age_30s","女性","2022-05-29","スタンダード","4634","Standard_Fee","モバイルルーター","3G","25.6","Standard_Usage","631","クレジットカード","555","4","3193963","Mid_Income","2025-06-14","10","true","0.987","Super_High_Risk_Customer","Entry_Level"
"12552231","個人","兵庫県","27","Under_30","女性","2022-03-25","ベーシック","2652","Low_Fee","タブレット","3G","13.3","Standard_Usage","241","クレジットカード","603","1","10303406","Super_High_Income","2025-06-16","11","false","0.234","Stable_Customer","Entry_Level"
"48526226","個人","東京都","28","Under_30","男性","2019-08-25","エンタープライズ","11208","Premium_Fee","タブレット","3G","29.8","Standard_Usage","491","請求書払い","678","5","8502762","High_Income","2025-06-30","14","true","0.767","Super_High_Risk_Customer","Premium_At_Risk"
"85067475","法人","北海道","23","Under_30","男性","2016-02-18","プレミアム","7262","High_Fee","タブレット","3G","17.4","Standard_Usage","330","口座振替","334","5","14417524","Super_High_Income","2025-07-29","2","false","0.229","Stable_Customer","Mid_Stable"
"98252781","個人","神奈川県","54","Age_50s","男性","2022-04-25","ベーシック","2573","Low_Fee","スマートフォン","4G","27.6","Standard_Usage","445","請求書払い","760","6","7573222","High_Income","2025-07-23","11","true","0.691","High_Risk_Customer","Entry_Level"
"41196509","個人","東京都","52","Age_50s","男性","2018-09-16","ベーシック","3500","Standard_Fee","タブレット","3G","23.3","Standard_Usage","925","コンビニ払い","306","5","3575044","Mid_Income","2025-06-13","12","false","0.377","At_Risk_Customer","Entry_Level"
"25367028","個人","東京都","49","Age_40s","男性","2017-04-14","プレミアム","8208","High_Fee","スマートフォン","4G","40.3","Heavy_Usage","10","コンビニ払い","501","6","6731667","High_Income","2025-07-18","0","false","0.142","Stable_Customer","Mid_Stable"
"50764599","個人","千葉県","32","Age_30s","男性","2017-11-04","ベーシック","3805","Standard_Fee","フィーチャーフォン","3G","38.6","Heavy_Usage","364","口座振替","808","5","4013220","Mid_Income","2025-08-06","9","true","0.144","Stable_Customer","Entry_Level"
"65382152","個人","北海道","75","Over_60","男性","2015-11-21","ベーシック","3464","Standard_Fee","スマートフォン","4G","17.9","Standard_Usage","582","コンビニ払い","528","3","4113738","Mid_Income","2025-08-22","13","true","0.444","At_Risk_Customer","Entry_Level"
"30167417","個人","北海道","76","Over_60","女性","2024-07-20","ベーシック","3540","Standard_Fee","IoTデバイス","3G","7.5","Light_Usage","422","クレジットカード","521","2","14323916","Super_High_Income","2025-08-06","8","false","0.52","High_Risk_Customer","Entry_Level"
"15019771","法人","大阪府","21","Under_30","女性","2018-07-21","プレミアム","10845","Premium_Fee","モバイルルーター","5G","6.1","Light_Usage","668","クレジットカード","437","5","12230673","Super_High_Income","2025-07-27","5","true","0.008","Stable_Customer","Premium_Stable"
"53818779","個人","神奈川県","26","Under_30","男性","2019-06-08","プレミアム","9155","High_Fee","スマートフォン","4G","36.4","Heavy_Usage","124","コンビニ払い","690","5","11531498","Super_High_Income","2025-06-01","0","false","0.244","Stable_Customer","Mid_Stable"
"80676832","個人","大阪府","32","Age_30s","男性","2022-12-16","プレミアム","10291","Premium_Fee","フィーチャーフォン","5G","22.3","Standard_Usage","824","クレジットカード","576","1","12880650","Super_High_Income","2025-07-08","15","false","0.547","High_Risk_Customer","Premium_At_Risk"
"82891984","法人","愛知県","38","Age_30s","男性","2020-09-27","スタンダード","6149","Standard_Fee","タブレット","4G","8.9","Light_Usage","833","請求書払い","504","6","5517480","Mid_Income","2025-08-11","4","false","0.593","High_Risk_Customer","Mid_At_Risk"
"60004452","個人","千葉県","77","Over_60","女性","2021-03-18","ベーシック","3531","Standard_Fee","モバイルルーター","5G","3.4","Light_Usage","634","口座振替","530","2","2780101","Low_Income","2025-06-02","12","false","0.261","Stable_Customer","Entry_Level"
"13076728","法人","愛知県","71","Over_60","男性","2023-07-23","プレミアム","7714","High_Fee","フィーチャーフォン","5G","5.5","Light_Usage","629","口座振替","647","1","6673990","High_Income","2025-07-09","0","true","0.923","Super_High_Risk_Customer","Mid_At_Risk"
"41213563","法人","愛知県","43","Age_40s","男性","2022-09-14","エンタープライズ","13260","Premium_Fee","フィーチャーフォン","3G","3.2","Light_Usage","279","コンビニ払い","723","6","8192589","High_Income","2025-06-02","19","false","0.028","Stable_Customer","Premium_Stable"
"11016676","法人","千葉県","66","Over_60","男性","2023-06-14","プレミアム","7987","High_Fee","スマートフォン","4G","35.4","Heavy_Usage","620","口座振替","584","3","11137336","Super_High_Income","2025-07-16","16","false","0.927","Super_High_Risk_Customer","Mid_At_Risk"
"33859601","個人","兵庫県","62","Over_60","女性","2017-09-22","ベーシック","3609","Standard_Fee","IoTデバイス","3G","1.3","Light_Usage","365","請求書払い","343","3","13013249","Super_High_Income","2025-08-14","10","true","0.507","High_Risk_Customer","Entry_Level"
"28587651","法人","愛知県","35","Age_30s","女性","2017-07-17","スタンダード","5570","Standard_Fee","タブレット","5G","10.3","Standard_Usage","678","コンビニ払い","345","4","12554850","Super_High_Income","2025-08-28","12","false","0.707","Super_High_Risk_Customer","Mid_At_Risk"
"81074941","法人","神奈川県","53","Age_50s","女性","2016-09-02","ベーシック","3042","Standard_Fee","モバイルルーター","4G","45.3","Heavy_Usage","930","クレジットカード","424","4","2502424","Low_Income","2025-07-27","13","true","0.57","High_Risk_Customer","Entry_Level"
"23615090","法人","東京都","60","Over_60","男性","2017-09-28","プレミアム","10271","Premium_Fee","スマートフォン","4G","35.2","Heavy_Usage","215","クレジットカード","401","3","3956337","Mid_Income","2025-07-25","4","false","0.995","Super_High_Risk_Customer","Premium_At_Risk"
"97659148","個人","北海道","54","Age_50s","女性","2024-04-17","エンタープライズ","18280","Premium_Fee","フィーチャーフォン","4G","11.4","Standard_Usage","83","請求書払い","761","5","7190187","High_Income","2025-06-26","12","false","0.536","High_Risk_Customer","Premium_At_Risk"
"85551975","個人","兵庫県","34","Age_30s","女性","2024-08-24","スタンダード","4687","Standard_Fee","IoTデバイス","5G","4.7","Light_Usage","262","請求書払い","327","3","8670856","High_Income","2025-06-14","1","false","0.431","At_Risk_Customer","Entry_Level"
"11744012","法人","福岡県","41","Age_40s","女性","2018-10-17","ベーシック","3833","Standard_Fee","フィーチャーフォン","5G","29.5","Standard_Usage","673","クレジットカード","667","3","14030314","Super_High_Income","2025-06-20","11","true","0.786","Super_High_Risk_Customer","Entry_Level"
"58943271","法人","東京都","26","Under_30","女性","2023-03-16","プレミアム","11884","Premium_Fee","IoTデバイス","5G","18.4","Standard_Usage","986","口座振替","554","4","6634016","High_Income","2025-06-19","5","false","0.819","Super_High_Risk_Customer","Premium_At_Risk"
"65645496","法人","北海道","58","Age_50s","女性","2024-11-29","プレミアム","10176","Premium_Fee","スマートフォン","4G","28.8","Standard_Usage","686","クレジットカード","499","6","5574535","Mid_Income","2025-07-22","19","true","0.426","At_Risk_Customer","Premium_At_Risk"
"43468883","法人","神奈川県","65","Over_60","女性","2019-04-23","エンタープライズ","14192","Premium_Fee","スマートフォン","5G","49.4","Heavy_Usage","71","請求書払い","700","5","7595091","High_Income","2025-07-16","19","false","0.294","Stable_Customer","Premium_Stable"
"69507005","法人","千葉県","62","Over_60","男性","2020-01-07","エンタープライズ","22100","Premium_Fee","スマートフォン","4G","40.7","Heavy_Usage","861","クレジットカード","549","3","3550184","Mid_Income","2025-08-22","20","true","0.258","Stable_Customer","Premium_Stable"
"25279033","法人","千葉県","23","Under_30","女性","2020-05-01","プレミアム","9574","High_Fee","スマートフォン","4G","41.4","Heavy_Usage","833","コンビニ払い","749","2","2298218","Low_Income","2025-08-02","7","false","0.452","At_Risk_Customer","Mid_Stable"
